Index,Razão social,CNPJ,Classificação
45,ACE SCHMERSAL ELETROELETRONICA INDUSTRIAL LTD,61.854.147/0001-33,Consumidor Especial
46,ACEF S/A.,46.722.831/0001-78,Consumidor Especial
47,ACETECH INDUSTRIA E COMERCIO DE EMBALAGENS E ADESIVOS EIREL,67.184.853/0001-00,Consumidor Especial
48,CERDIA BRASIL INDUSTRIA E COMERCIO LTDA,07.794.384/0001-00,Consumidor Especial
49,ACG DO BRASIL S/A,09.625.967/0002-14,Consumidor Especial
50,ASSOCIACAO CIVIL DOS PROPRIETARIOS E LOCATARIOS DO CENTRO EMPRESARIAL GWES,34.954.956/0001-44,Consumidor Especial
51,ACOPECAS INDUSTRIA DE PECAS DE ACO LTD,75.883.975/0001-04,Consumidor Especial
52,ACOFER INDUSTRIA E COMERCIO EIREL,03.989.217/0003-26,Consumidor Especial
53,ACOFERGO TUBOS E PERFILADOS LTD,06.881.776/0001-44,Consumidor Especial
54,ACOFORJA INDUSTRIA DE FORJADOS S,16.716.417/0001-95,Consumidor Especial
55,ACOKORTE IND METALURGICA E COMERCIO LTD,66.081.894/0001-08,Consumidor Especial
56,ACOME DO BRASIL LTDA.,02.554.135/0001-24,Consumidor Especial
57,ACOS VIC LTDA,60.608.866/0001-01,Consumidor Especial
58,ACOSTUMADO ALIMENTOS LTDA,22.907.158/0001-82,Consumidor Especial
59,ACOTEL INDUSTRIA E COMERCIO LTD,22.719.686/0001-08,Consumidor Especial
60,ACOTUBO INDUSTRIA E COMERCIO LTD,43.919.968/0001-29,Consumidor Especial
61,A.C.P. INDUSTRIA DE MOVEIS LTD,30.746.945/0001-18,Consumidor Especial
62,ACPA ANODIZACAO DE CHAPAS E PERFIS DE ALUMINIO LTD,01.945.472/0001-80,Consumidor Especial
63,ACRILEX TINTAS ESPECIAIS S,60.779.014/0001-87,Consumidor Especial
64,ACRILYS DO BRASIL LAMINADOS PLASTICOS LTD,93.831.832/0001-30,Consumidor Especial
65,ACRILYS DO BRASIL LAMINADOS PLASTICOS LTD,93.831.832/0002-11,Consumidor Especial
66,ASSOCIACAO CONGREGACAO DE SANTA CATARIN,60.922.168/0001-86,Consumidor Especial
67,ACTEGA DO BRASIL TINTAS E VERNIZES LTDA,03.687.143/0010-00,Consumidor Especial
68,MOURA BATERIAS AUTOMOTIVAS E INDUSTRIAIS - COMERCIO| EXPORTACAO E IMPORTACAO LTD,15.459.513/0001-32,Consumidor Especial
69,ACUMENT BRASIL SISTEMAS DE FIXACAO S.A,61.526.836/0001-19,Consumidor Especial
70,ADAMA BRASIL S/A,02.290.510/0001-76,Consumidor Especial
71,ADAR INDUSTRIA | COMERCIO IMPORTACAO E EXPORTACAO LTD,03.442.526/0001-10,Consumidor Especial
72,ADASEBO-INDUSTRIA E COMERCIO DE PRODUTOS ANIMAIS LTD,71.966.071/0001-91,Consumidor Especial
73,ADATA INTEGRATION BRAZIL S/A,21.316.324/0001-03,Consumidor Especial
74,ADATEX S A INDUSTRIAL E COMERCIAL,50.464.734/0001-08,Consumidor Especial
75,ADDN ASSISTENCIA TECNICA COMERCIO E INDUSTRIA LTD,71.774.004/0001-75,Consumidor Especial
76,ADECOL INDUSTRIA QUIMICA LTDA,50.851.955/0001-20,Consumidor Especial
77,ADEL COCO BRASIL INDUSTRIA E COMERCIO LTD,10.567.693/0001-52,Consumidor Especial
78,ADELBRAS INDUSTRIA E COMERCIO DE ADESIVOS LTD,73.077.299/0001-56,Consumidor Especial
79,ADERE PRODUTOS AUTO ADESIVOS LTD,46.062.030/0001-23,Consumidor Especial
80,EMBALAGENS INDUSTRIAIS ADESI COATING LTDA,11.325.407/0001-05,Consumidor Especial
81,ADESTE INDUSTRIA DE PRODUTOS ANIMAIS LTD,44.885.291/0001-18,Consumidor Especial
82,ADESTE PRODUTOS ANIMAIS E VEGETAIS LTD,43.563.840/0005-07,Consumidor Especial
83,ADF - EMPRESAS REUNIDAS LTDA,10.508.274/0001-40,Consumidor Especial
84,ARROZEIRA ADIB PEIXOTO LTDA,04.908.287/0001-03,Consumidor Especial
85,ADIENT DO BRASIL BANCOS AUTOMOTIVOS LTDA,00.514.820/0001-00,Consumidor Especial
86,ADIMAX - INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,03.887.324/0012-34,Consumidor Especial
87,ADIMAX - INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,03.887.324/0006-96,Consumidor Especial
88,ADIMAX - INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,03.887.324/0002-62,Consumidor Especial
89,ADLER PTI S.A.,00.673.500/0001-94,Consumidor Especial
90,AD'ORO S.A.,60.037.058/0001-31,Consumidor Especial
91,ADUFERTIL FERTILIZANTES LTDA.,44.777.951/0001-47,Consumidor Especial
92,LABORATORIO TAYUYNA LTDA,60.879.848/0001-64,Consumidor Especial
93,ADVAL TECH DO BRASIL INDUSTRIA DE AUTOPECAS LTDA,03.284.033/0001-07,Consumidor Especial
94,ASSEMBLEIA DE DEUS VITORIA EM CRIST,34.292.797/0001-60,Consumidor Especial
95,ASSOCIACAO EVANGELICA BENEFICENTE ESPIRITO-SANTENSE - AEBE,28.127.926/0001-61,Consumidor Especial
96,ASSOCIACAO EVANGELICA BENEFICENTE ESPIRITO-SANTENSE - AEBE,28.127.926/0002-42,Consumidor Especial
97,AEC CENTRO DE CONTATOS S/A,02.455.233/0001-04,Consumidor Especial
98,AEL SISTEMAS S.A,88.031.539/0001-59,Consumidor Especial
99,ASSOCIACAO DE ENSINO E CULTURA DE MATO GROSSO DO SU,01.923.317/0001-62,Consumidor Especial
100,AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO DE ENERGIA S.,12.528.708/0001-07,Consumidor Especial
101,AERNNOVA AEROSPACE DO BRASIL EIREL,06.184.630/0001-40,Consumidor Especial
102,SPE CONCESSIONARIA AEROESTE AEROPORTOS S.A,34.331.544/0001-58,Consumidor Especial
103,SPE CONCESSIONARIA DO AEROPORTO DE ILHEUS S/,31.840.260/0001-07,Consumidor Especial
104,AESA AUTOMOLAS EQUIPAMENTOS LTDA,60.446.929/0001-70,Consumidor Especial
105,ASSOCIACAO EDUCADORA SAO CARLOS - AES,88.625.686/0001-57,Consumidor Especial
106,ASSOCIACAO EDUCADORA SAO CARLOS - AES,88.625.686/0024-43,Consumidor Especial
107,AETHRA SISTEMAS AUTOMOTIVOS S.A,41.757.527/0001-42,Consumidor Especial
108,ASSOCIACAO FUNDO DE INCENTIVO A PESQUIS,47.673.793/0001-73,Consumidor Especial
109,ACEARIA FREDERICO MISSNER LTD,82.719.956/0001-02,Consumidor Especial
110,AGCM CONSTRUTORA E MINERADORA LTD,88.245.402/0001-05,Consumidor Especial
111,AGCO DO BRASIL SOLUCOES AGRICOLAS LTDA,55.962.369/0012-20,Consumidor Especial
112,AGCO DO BRASIL SOLUCOES AGRICOLAS LTDA,55.962.369/0017-34,Consumidor Especial
113,GSI BRASIL INDUSTRIA E COMERCIO DE EQUIPAMENTOS AGROPECUARIOS LTD,01.770.039/0001-50,Consumidor Especial
114,AGEL ANEIS GAXETAS EQUIPAMENTOS LTD,51.938.702/0001-51,Consumidor Especial
115,ARMAZENS GERAIS LESTE DE MINAS LIMITAD,17.370.354/0001-20,Consumidor Especial
116,AGM INDUSTRIA E COMERCIO DE EMBALAGENS LTD,01.070.163/0001-03,Consumidor Especial
117,AGRA AGROINDUSTRIAL DE ALIMENTOS S,24.746.687/0001-77,Consumidor Especial
118,AGRALE SOCIEDADE ANONIMA,88.610.324/0001-92,Consumidor Especial
119,AGRICHEM DO BRASIL S.A.,03.860.998/0001-92,Consumidor Especial
120,AGRICOLA FAMOSA S.A.,00.474.300/0001-02,Consumidor Especial
121,AGRICOLA HORIZONTE LTDA,77.837.979/0001-81,Consumidor Especial
122,AGRIFIRM DO BRASIL NUTRICAO ANIMAL LTD,03.279.946/0001-27,Consumidor Especial
123,AGRIMIG CALCARIO AGRICOLA LIMITAD,21.580.469/0001-17,Consumidor Especial
124,AGRITECH LAVRALE INDUSTRIA DE MAQUINARIO AGRICOLA E COMPONENTES LTD,88.658.984/0001-43,Consumidor Especial
125,AGROINDUSTRIAL IGUATEMI EIRELI,12.593.115/0001-16,Consumidor Especial
126,AGRO INDUSTRIAL ITUBERA LTDA,13.543.822/0001-60,Consumidor Especial
127,AGRO LATINA LTDA,88.320.536/0001-35,Consumidor Especial
128,AGRO NORTE PESQUISA E SEMENTES LTD,03.503.798/0001-82,Consumidor Especial
129,AGROPRATINHA S/A,82.270.893/0002-30,Consumidor Especial
130,INDUSTRIA AGRO-PERTENCES EIRELI,87.760.062/0001-80,Consumidor Especial
131,AGROARACA INDUSTRIA DE ALIMENTOS LTD,04.239.719/0001-30,Consumidor Especial
132,AGROAVES LTDA,17.868.142/0001-78,Consumidor Especial
133,AGRO BOI IMPORTACAO E EXPORTACAO LTD,04.119.970/0001-61,Consumidor Especial
134,AGROFEL AGRO COMERCIAL S.A.,03.415.222/0001-63,Consumidor Especial
135,AGROGEN DESENVOLVIMENTO GENETICO S.A,32.593.445/0001-19,Consumidor Especial
136,AGROPECUARIA MAGGI LTDA,00.315.457/0001-95,Consumidor Especial
137,AGROMANTOVA LTDA,23.768.921/0001-02,Consumidor Especial
138,INDUSTRIAS XHARA LTDA,18.866.111/0001-40,Consumidor Especial
139,AGROPARR ALIMENTOS LTDA,93.607.398/0001-00,Consumidor Especial
140,AGROPECUARIA CRESTANI LTDA,03.262.185/0001-09,Consumidor Especial
141,AGROPLASTIC COMERCIAL DE PLASTICOS LTD,14.810.613/0001-07,Consumidor Especial
142,AGROQUIMA PRODUTOS AGROPECUARIOS LTD,01.626.951/0001-33,Consumidor Especial
143,AGROSEPAC SERRADOS LTDA,29.116.865/0001-08,Consumidor Especial
144,AGROSPE - AGRO INDUSTRIAL SAO PEDRO DE VACARIA LTD,91.816.538/0001-24,Consumidor Especial
145,AGROTERENAS S.A. INDUSTRIAL CITRU,08.079.184/0001-39,Consumidor Especial
146,ARMAZENS GERAIS TERMINAL LTDA,81.174.138/0001-09,Consumidor Especial
147,MINERADORA DE AGUA ANA ROSA LTD,07.976.975/0001-07,Consumidor Especial
148,HIDROMINERAL LA BANANAL LTDA,10.654.793/0001-16,Consumidor Especial
149,MINERADORA  AGUA BRANCA LTDA,19.347.955/0001-48,Consumidor Especial
150,SETA AGRO-MINERACAO LTDA,17.881.855/0001-71,Consumidor Especial
151,EPD - INDUSTRIA E COMERCIO DE AGUA MINERAL EIREL,07.649.214/0001-32,Consumidor Especial
152,MINERACAO AGUA PADRE MANOEL LTD,17.315.060/0001-04,Consumidor Especial
153,AGUAS DAS AGULHAS NEGRAS S.A,09.195.493/0001-37,Consumidor Especial
154,AGUAS DE CASA BRANCA SPE LTDA.,29.313.891/0001-18,Consumidor Especial
155,AGUAS DE JAHU S/A,20.918.034/0001-77,Consumidor Especial
156,CONCESSIONARIA AGUAS DE JUTURNAIBA S/,02.013.199/0001-18,Consumidor Especial
157,AGUAS DE MATAO S.A,19.190.721/0001-30,Consumidor Especial
158,AGUAS DE NITEROI S/A,02.150.336/0001-66,Consumidor Especial
159,AGUAS DE NOVA FRIBURGO LTDA.,03.119.806/0001-91,Consumidor Especial
160,AGUAS DE PARA DE MINAS S/A.,18.494.424/0001-15,Consumidor Especial
161,AGUAS DE VOTORANTIM S/A,14.192.039/0001-62,Consumidor Especial
162,AGUAS DO IMPERADOR SA,02.150.327/0001-75,Consumidor Especial
163,AGUAS DO MIRANTE S.A.,15.384.637/0001-04,Consumidor Especial
164,AGUAS DO PARAIBA SA,01.280.003/0001-99,Consumidor Especial
165,FIACAO AGUAS NEGRAS LTDA,80.096.050/0001-53,Consumidor Especial
166,AGUAS NEGRAS SA INDUSTRIA DE PAPE,82.757.907/0001-64,Consumidor Especial
167,AGUAS PETROPOLIS PAULISTA LTD,61.072.898/0001-06,Consumidor Especial
168,AGUAS PRATA LTDA,60.344.173/0001-59,Consumidor Especial
169,AGUAS MINERAIS SARANDI LTDA,97.318.943/0001-07,Consumidor Especial
170,AGUATIVA GOLF RESORT S/A,77.424.992/0002-90,Consumidor Especial
171,AGUIA SISTEMAS DE ARMAZENAGEM S/,81.075.137/0001-07,Consumidor Especial
172,VIACAO AGUIA BRANCA S A,27.486.182/0001-09,Consumidor Especial
173,AGV LOGISTICA S.A,02.905.424/0001-20,Consumidor Especial
174,AHLSTROM-MUNKSJO BRASIL INDUSTRIA E COMERCIO DE PAPEIS ESPECIAIS LTDA,00.767.144/0001-78,Consumidor Especial
175,AIRELA INDUSTRIA FARMACEUTICA LTD,01.858.973/0001-29,Consumidor Especial
176,AIRO INDUSTRIA E COMERCIO DE EMBALAGENS EIREL,10.305.157/0001-89,Consumidor Especial
177,AISIN AUTOMOTIVE LTDA.,14.011.603/0001-01,Consumidor Especial
178,A.J. BENEFICIAMENTO TEXTIL LTD,02.548.987/0001-09,Consumidor Especial
179,AJN CONFECCOES LTDA,13.459.933/0001-93,Consumidor Especial
180,AKEO INDUSTRIAL LTDA,89.340.921/0001-07,Consumidor Especial
181,AKER SOLUTIONS DO BRASIL LTDA,05.876.349/0001-05,Consumidor Especial
182,AKG DO BRASIL - DESENVOLVIMENTO E COMERCIALIZACAO DE SISTEMAS TERMODINAMICOS LTD,13.461.781/0001-63,Consumidor Especial
183,707 AUTO-SERVICO DE ALIMENTOS LTD,12.539.517/0001-32,Consumidor Especial
184,AKZO NOBEL LTDA,60.561.719/0001-23,Consumidor Especial
185,AKZO NOBEL LTDA,60.561.719/0094-22,Consumidor Especial
186,ALBAN INDUSTRIA E COMERCIO DE EMBALAGENS PLASTICAS LTD,66.908.955/0001-50,Consumidor Especial
187,ALBANY INTERNATIONAL TECIDOS TECNICOS LTDA,60.580.263/0001-49,Consumidor Especial
188,ALBAUGH AGRO BRASIL LTDA.,01.789.121/0001-27,Consumidor Especial
189,SILGAN DISPENSING SYSTEMS AND PACKAGING DO BRASIL INDUSTRIA DE EMBALAGENS LTDA,60.760.642/0001-10,Consumidor Especial
190,ALBERFLEX INDUSTRIA DE MOVEIS LTD,60.656.774/0001-05,Consumidor Especial
191,ALBERT SABIN HOSPITAL E MATERNIDADE LTD,04.275.687/0001-29,Consumidor Especial
192,ALBERTO SA INDUSTRIA E COMERCIO,10.806.453/0001-63,Consumidor Especial
193,METALURGICA ALBRAS LTDA,43.730.415/0001-23,Consumidor Especial
194,FUNDICAO ALCA LTDA,88.582.291/0001-14,Consumidor Especial
195,ALCABRAS INDUSTRIA E COMERCIO LTD,06.110.207/0001-03,Consumidor Especial
196,ALCAPLAS INDUSTRIA DE PLASTICOS LTD,03.943.986/0001-21,Consumidor Especial
197,ALCATEC PRODUTOS SINTETICOS LTD,05.236.060/0001-21,Consumidor Especial
198,ALDEIA DAS AGUAS PARK RESORT,39.204.391/0001-00,Consumidor Especial
199,ALDORO INDUSTRIA DE POS E PIGMENTOS METALICOS LTD,47.340.930/0001-58,Consumidor Especial
200,ALEMOLDE INDUSTRIA E COMERCIO DE EMBALAGENS DE MATERIAL PLASTICO LTD,10.344.758/0001-09,Consumidor Especial
201,ALEPLAST EMBALAGENS PLASTICAS LTDA,01.737.383/0001-48,Consumidor Especial
202,ALESTIS DO BRASIL INDUSTRIA  AEROESPACIAL LTD,09.071.368/0001-15,Consumidor Especial
203,ALFA LAVAL LTDA.,43.474.212/0003-85,Consumidor Especial
204,ALFAGOMMA DO BRASIL LTDA,15.445.004/0001-50,Consumidor Especial
205,CERAMICA ALFAGRES INDUSTRIA E COMERCIO LTD,01.703.119/0001-93,Consumidor Especial
206,ALFLEN E ALFLEN LTDA,19.205.227/0001-00,Consumidor Especial
207,ALGAR TECNOLOGIA E CONSULTORIA S.A,21.246.699/0001-44,Consumidor Especial
208,ALGAR TELECOM S/A,71.208.516/0001-74,Consumidor Especial
209,ALGAR MULTIMIDIA S/A,04.622.116/0001-13,Consumidor Especial
210,LATICINIOS ALHAMBRA LTDA,19.728.492/0001-64,Consumidor Especial
211,ALHENA COLOR ANODIZACAO LTDA.,09.321.053/0001-89,Consumidor Especial
212,ALIANCA S/A - INDUSTRIA NAVAL E EMPRESA DE NAVEGACA,33.055.732/0008-04,Consumidor Especial
213,ALIANZA LOGISTICA E EMPREENDIMENTOS LTD,08.776.680/0001-41,Consumidor Especial
214,ALIBEM ALIMENTOS S.A.,03.941.052/0001-50,Consumidor Especial
215,ALIBEY INDUSTRIA E COMERCIO DE ALIMENTOS ESPECIAIS LTD,74.526.278/0005-67,Consumidor Especial
216,ALIBRA INGREDIENTES LTDA,03.645.657/0001-02,Consumidor Especial
217,ALIBRAS - ALIMENTOS BRASILEIROS LTD,78.328.051/0001-34,Consumidor Especial
218,ALIMENTOS DALLAS INDUSTRIA E COMERCIO LTD,03.938.789/0003-86,Consumidor Especial
219,ALIMENTA NUTRICAO ANIMAL LTDA.,22.458.798/0001-52,Consumidor Especial
220,ALIMENTOS ESTRELA LTDA,04.279.743/0001-01,Consumidor Especial
221,"S. MANOEL FAGUNDES &amp, CIA LTD",09.481.584/0001-39,Consumidor Especial
222,ALIMENTOS JURITI LTDA,77.966.570/0001-65,Consumidor Especial
223,FECULARIA LOPES LTDA,74.175.159/0001-83,Consumidor Especial
224,ALISUL ALIMENTOS SA,89.548.523/0024-77,Consumidor Especial
225,ALISUL ALIMENTOS SA,89.548.523/0014-03,Consumidor Especial
226,ALISUL ALIMENTOS SA,89.548.523/0042-59,Consumidor Especial
227,ALISUL ALIMENTOS SA,89.548.523/0001-80,Consumidor Especial
228,ALL NUTRI ALIMENTOS EIRELI,05.965.693/0001-70,Consumidor Especial
229,ALL4LABELS GRAFICA DO BRASIL LTD,82.637.109/0001-07,Consumidor Especial
230,EMBALAGENS ALLBOX LTDA,07.570.962/0001-25,Consumidor Especial
231,CERAMICA   ALLEANZA  LTDA.,23.320.538/0001-89,Consumidor Especial
232,ALLERGAN PRODUTOS FARMACEUTICOS LTDA,43.426.626/0009-24,Consumidor Especial
233,SISTEMAS DE IDENTIFICACAO ANIMAL LTD,05.194.267/0001-80,Consumidor Especial
234,ALLIAGE S/A INDUSTRIAS MEDICO ODONTOLOGIC,55.979.736/0001-45,Consumidor Especial
235,ALLIANCE QUIMICA INDUSTRIA E COMERCIO LTD,14.980.121/0001-51,Consumidor Especial
236,ALLNEX QUIMICA BRASIL LTDA,81.676.124/0001-93,Consumidor Especial
237,ALLTAPE INDUSTRIA E COMERCIO DE FITAS ADESIVAS LTD,03.250.204/0001-79,Consumidor Especial
238,ALMAVIVA DO BRASIL TELEMARKETING E INFORMATICA S/,08.174.089/0001-14,Consumidor Especial
239,ALMEIDA MERCADOS - COMERCIO| DISTRIBUIDORA E IMPORTADORA LTD,77.728.988/0001-34,Consumidor Especial
240,ALPARGATAS S.A.,61.079.117/0001-05,Consumidor Especial
241,ALPES INDUSTRIA E COMERCIO DE PLASTICOS EIREL,02.877.500/0001-31,Consumidor Especial
242,ALPEX ALUMINIO S.A,68.100.064/0001-06,Consumidor Especial
243,ALPHA INDUSTRIA METALURGICA LTD,04.139.977/0001-45,Consumidor Especial
244,ALPHA PLAST-INDUSTRIA E COMERCIO LTD,03.357.873/0001-44,Consumidor Especial
245,ALPHAVILLE TENIS CLUBE,48.745.913/0001-63,Consumidor Especial
246,ALPINO INDUSTRIA METALURGICA LTD,61.451.027/0001-95,Consumidor Especial
247,A L PLAST INDUSTRIA E COMERCIO DE PLASTICOS EIREL,11.108.619/0001-30,Consumidor Especial
248,ALSCO TOALHEIRO BRASIL LTDA.,33.325.184/0001-19,Consumidor Especial
249,ALSCO TOALHEIRO BRASIL LTDA.,33.325.184/0028-39,Consumidor Especial
250,ALSCO TOALHEIRO BRASIL LTDA.,33.325.184/0020-81,Consumidor Especial
251,ALSTOM BRASIL ENERGIA E TRANSPORTE LTD,88.309.620/0001-58,Consumidor Especial
252,ALTA VISTA THERMAS RESORT,30.405.185/0001-85,Consumidor Especial
253,A.T.P. INDUSTRIA E COMERCIO DE PLASTICOS LTDA,04.995.392/0001-27,Consumidor Especial
254,ASTI S/A,04.649.260/0001-43,Consumidor Especial
255,ALTECNICA INDUSTRIA E COMERCIO LTD,93.719.136/0003-07,Consumidor Especial
256,ALTENBURG TEXTIL LTDA,75.293.662/0001-04,Consumidor Especial
257,ALTERNATIVA COMPONENTES LTDA,04.572.201/0001-14,Consumidor Especial
258,ALTERO DESIGN - INDUSTRIA E COMERCIO LTDA,89.790.356/0001-80,Consumidor Especial
259,EDITORA ALTEROSA LTDA,17.181.488/0001-01,Consumidor Especial
260,ALTHOFF SUPERMERCADOS LTDA,83.646.604/0001-37,Consumidor Especial
261,LATICINIO DANIEL COLLE LTDA,04.421.375/0001-86,Consumidor Especial
262,ALTOM METALURGIA LTDA,07.502.359/0001-06,Consumidor Especial
263,ALTOM INDUSTRIA E COMERCIO DE IMAS LTD,36.448.573/0001-20,Consumidor Especial
264,ALUCOMAXX BRASIL - INDUSTRIA E COMERCIO DE REVESTIMENTOS LTD,12.047.030/0001-32,Consumidor Especial
265,ALUDIM ALUMINIO LTDA,13.280.501/0001-10,Consumidor Especial
266,ANODIZACAO E COLORACAO DE METAIS MARINGA LTD,00.684.513/0001-69,Consumidor Especial
267,ALUDYNE COMPONENTES AUTOMOTIVOS BRASIL LTDA,02.221.397/0001-77,Consumidor Especial
268,ALUMASA INDUSTRIA DE PLASTICO E ALUMINIO LTD,80.718.984/0001-80,Consumidor Especial
269,ALUMAX EXTRUSAO DE METAIS LTD,11.740.881/0001-01,Consumidor Especial
270,ALUMBRA PRODUTOS ELETRICOS E ELETRONICOS LTD,59.114.777/0001-20,Consumidor Especial
271,FUNDICAO ALUMETAF LTDA,73.954.489/0001-04,Consumidor Especial
272,ALUMICONTE COMPONENTES DE ALUMINIO EIREL,92.175.892/0001-80,Consumidor Especial
273,ALUMINIO ARARAS LTDA,51.045.029/0001-20,Consumidor Especial
274,"NEVIO &amp, MOYA ARTEFATOS DE ALUMINIO LTD",61.576.807/0001-61,Consumidor Especial
275,ALUMINIO MARCOLAR LTDA,43.066.372/0001-23,Consumidor Especial
276,ALUMINIO RAMOS INDUSTRIA E COMERCIO LTD,45.273.406/0001-86,Consumidor Especial
277,ALUMISO PERFIS DE ALUMINIO LTD,09.210.706/0001-52,Consumidor Especial
278,ALUZINCO INDUSTRIA E COMERCIO DE METAIS LTD,19.550.113/0001-99,Consumidor Especial
279,ALVO COMERCIO DE ALIMENTOS E UTILIDADES LTD,35.776.776/0001-82,Consumidor Especial
280,"MAGLIONI RIBEIRO &amp, CIA LTD",21.414.958/0001-07,Consumidor Especial
281,ARCELORMITTAL GONVARRI BRASIL PRODUTOS SIDERURGICOS S/,02.235.994/0001-50,Consumidor Especial
282,AMAFIL INDUSTRIA E COMERCIO DE ALIMENTOS LTD,75.784.140/0001-05,Consumidor Especial
283,NHSILVA INDUSTRIA E EXPORTACAO LTD,12.082.881/0001-16,Consumidor Especial
284,IRMAOS AMALCABURIO LTDA,88.623.996/0001-32,Consumidor Especial
285,AMALFI INDUSTRIA TEXTIL LTDA.,10.227.955/0001-30,Consumidor Especial
286,AMARAL COSTA MEDICINA DIAGNOSTICA S/E LTD,04.572.038/0001-90,Consumidor Especial
287,AMAZONAS INDUSTRIAS ALIMENTICIAS S A AMAS,05.574.041/0001-05,Consumidor Especial
288,AMAZON TEMPER INDUSTRIA E COMERCIO DE VIDROS TEMPERADOS LTD,09.177.724/0001-80,Consumidor Especial
