CNPJ,RAZAO,NOME_FANTASIA,DATA_ABERTURA,CNAE,DESCRICAO_CNAE,NATUREZA_JURIDICA,DESCRICAO_NATUREZA_JURIDICA,TIPO,TITULO,LOGRADOURO,NUMERO,COMPLEMENTO,ENDERECO,BAIRRO,CIDADE,UF,CEP,DDD1,FONE1,DDD2,FONE2,SITUACAO_CADASTRAL,MATRIZ,PORTE,FATURAMENTO_PRESUMIDO_ANUAL,QTD_PROPRIETARIO,QTD_FUNCIONARIOS
 71.619.928/0001-05,DOAL PLASTIC INDUSTRIA E COMERCIO LTDA,DOAL PLASTIC,31/05/1993,2229399,Fabricação de artefatos de material plástico para outros usos não especificados anteriormente,2062,Sociedade Empresária Limitada ,AVENIDA,,DIRCEU DIAS CARNEIRO,151,,AV DIRCEU DIAS CARNEIRO 151,DISTRITO INDUSTRIAL II,SANTA BARBARA D OESTE,SP,13457198,19,991933635,19,991009939,ATIVA,1,MÉDIA, R$ 30.000.000,00 ,3,420
 04.768.477/0001-72,ITALO SUPERMERCADOS LTDA,CENTER VIZI SUPERMERCADO,07/11/2001,4711302,Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercad,2062,Sociedade Empresária Limitada ,AVENIDA,,RIO GRANDE DO SUL,109,C 109,AV RIO GRANDE DO SUL 109 C 109,CENTRO,DOIS VIZINHOS,PR,85660000,46,35363031,46,35240605,ATIVA,1,MÉDIA, R$ 340.000.000,00 ,2,122
 01.355.480/0001-76,UNINJET INDUSTRIA E COMERCIO DE PLASTICOS LTDA,,30/07/1996,2229399,Fabricação de artefatos de material plástico para outros usos não especificados anteriormente,2062,Sociedade Empresária Limitada ,RUA,,FORTE DO ARAXA,253,,FORTE DO ARAXA,PARQUE INDUSTRIAL SAO LOURENCO,SAO PAULO,SP,8340170,11,996314934,11,971611701,ATIVA,1,MÉDIA, R$ 12.125.000,00 ,6,292
 01.447.569/0001-62,SUPERMERCADO DORLA LTDA  ,,18/09/1996,4691500,Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios,2062,Sociedade Empresária Limitada ,AVENIDA,,VISCONDE DO RIO BRANCO,850,SOBRELOJA - SALA 03,AV VISCONDE DO RIO BRANCO 850 SOBRELOJA - SALA 03,BREJATUBA,GUARATUBA,PR,83280000,41,992588758,41,991435589,ATIVA,1,GRANDE, R$ 41.500.000,00 ,4,
 05.849.540/0001-68,REOBOTE RECUPERACAO DE UTENSILIOS PLASTICOS LTDA,,09/07/2003,2229301,Fabricação de artefatos de material plástico para uso pessoal e doméstico,2062,Sociedade Empresária Limitada ,AVENIDA,,MARCELO DINIZ XAVIER,451,,AV MARCELO DINIZ XAVIER 451,CALIFORNIA,BELO HORIZONTE,MG,30855075,31,33956749,31,35653580,ATIVA,1,PEQUENA, R$ 56.700.000,00 ,4,616
 79.427.589/0001-69,PLASC - PLASTICOS SANTA CATARINA LTDA,,21/07/1986,2222600,Fabricação de embalagens de material plástico,2062,Sociedade Empresária Limitada ,RUA,,ALEXANDRE SERGIO GODINHO,700,,ALEXANDRE SERGIO GODINHO,MAR DAS PEDRAS,BIGUACU,SC,88160000,48,21069929,48,21069924,ATIVA,1,GRANDE, R$ 90.000.000,00 ,4,792
 07.216.100/0001-07,TOTAL SERVICE LOGISTICA BETIM LTDA,,03/02/2005,5211701,Armazéns gerais - emissão de warrant,2062,Sociedade Empresária Limitada ,RODOVIA,,BR-381 FERNAO DIAS,,KM 488.6,RODOVIA BR-381 FERNAO DIAS S/N KM    488.6,DISTRITO INDUSTRIAL PAULO CAMILO SUL,BETIM,MG,32669055,31,999853019,31,995292891,ATIVA,1,MÉDIA, R$ 8.900.000,00 ,6,162
 05.437.703/0001-03,CAMARGO COMPANHIA DE EMBALAGENS LTDA.,,13/12/2002,2222600,Fabricação de embalagens de material plástico,2062,Sociedade Empresária Limitada ,RUA,,ALVARO COMERIN,51,,R ALVARO COMERIN 51,DISTRITO INDUSTRIAL,TIETE,SP,18530000,11,32852009,15,32855210,ATIVA,1,GRANDE, R$ 172.000.000,00 ,8,470
 12.082.881/0001-16,NHSILVA INDUSTRIA E EXPORTACAO LTDA,AMAGIL,15/06/2010,1065101,Fabricação de amidos e féculas de vegetais,2062,Sociedade Empresária Limitada ,RODOVIA,,MS 475 LT 630 SN,,KM 6 LINHA SANTA LUZIA,ROD MS 475 LT 630 SN KM 6 LINHA SANTA LUZIA,ZONA RURAL,NOVO HORIZONTE DO SUL,MS,79745000,67,34471110,44,36271248,ATIVA,1,MÉDIA, R$ 17.230.000,00 ,2,59
 26.262.847/0001-38,SORVETES LAMOIA LTDA,SORVETES LAMOIA,22/09/2016,1053800,Fabricação de sorvetes e outros gelados comestíveis,2062,Sociedade Empresária Limitada ,RUA,,3,,QUADRA B LOTE 07,R 03 SN QUADRA B LOTE 07,POLO INDUSTRIAL,PIUMA,ES,29285000,21,997565497,27,996907324,ATIVA,1,PEQUENA, R$ 7.500.000,00 ,3,34
 05.197.487/0001-68,PAULICEIA INDUSTRIA E COMERCIO DE PLASTICOS LTDA,,03/07/2002,2229399,Fabricação de artefatos de material plástico para outros usos não especificados anteriormente,2062,Sociedade Empresária Limitada ,ESTRADA,,ALDEINHA,755,,EST ALDEINHA 755,JARDIM MARILU,CARAPICUIBA,SP,6343040,11,41860977,11,41465847,ATIVA,1,MÉDIA, R$ 1.650.000,00 ,2,79
 03.315.918/0001-18,UNIMED CAMPO GRANDE MS COOPERATIVA DE TRABALHO MEDICO,,24/10/1973,6550200,Planos de saúde,2143,Cooperativa ,RUA,,GOIAS,695,,GOIAS,JARDIM DOS ESTADOS,CAMPO GRANDE,MS,79020101,67,33892512,67,33892407,ATIVA,1,GRANDE, R$ 550.000.000,00 ,9,819
 00.426.978/0001-10,DURO PVC LTDA,DURO PVC,10/02/1995,2223400,Fabricação de tubos e acessórios de material plástico para uso na construção,2062,Sociedade Empresária Limitada ,AVENIDA,,TAMOIOS,,COM GUAICURUS QUADRA07-A LOTE 01-E LOTES 01 28,AVENIDA TAMOIOS SN COM GUAICURUS QUADRA07-A LOTE 01-E LOTES 01 28,JARDIM ELDORADO,APARECIDA DE GOIANIA,GO,74993160,62,32744800,62,999839545,ATIVA,1,GRANDE, R$ 72.000.000,00 ,2,1030
 02.223.370/0001-13,AROTUBI INDUSTRIA DE COMPONENTES LTDA.,,02/10/1997,2759799,Fabricação de outros aparelhos eletrodomésticos não especificados anteriormente, peças e acessórios,2062,Sociedade Empresária Limitada ,RUA,,FRANCISCO MILDEMBERG,,COND AROTUBI MOD 02,FRANCISCO MILDEMBERG,CIDADE INDUSTRIAL,CURITIBA,PR,81350190,41,998584004,45,32887070,ATIVA,1,GRANDE, R$ 56.700.000,00 ,3,780
 01.256.141/0001-32,DI SOLLE CUTELARIA LTDA,,14/06/1996,2541100,Fabricação de artigos de cutelaria,2062,Sociedade Empresária Limitada ,ESTRADA,,JOSE BERGAMO FILHO,405,EST JOSE BERGAMO FILHO 4,EST JOSE BERGAMO FILHO 405 EST JOSE BERGAMO FILHO 4,VAR GRANDE,GRAMADO,RS,95670000,54,981720072,54,991763139,ATIVA,1,MÉDIA, R$ 22.400.000,00 ,2,478
 93.973.329/0001-10,INDUSTRIA COMERCIO PRODUTOS DE LIMPEZA GIRANDO SOL LTDA,,24/04/1991,2061400,Fabricação de sabões e detergentes sintéticos,2062,Sociedade Empresária Limitada ,RUA,,ARTHUJOSE SCHROEDER,780,,ARTHUJOSE SCHROEDER,SAO CAETANO,ARROIO DO MEIO,RS,95940000,51,984169214,51,984169217,ATIVA,1,GRANDE, R$ 236.000.000,00 ,2,624
 80.051.824/0001-20,KAPAZI INDUSTRIA E COMERCIO DE CAPACHOS LTDA,,01/06/1987,2229301,Fabricação de artefatos de material plástico para uso pessoal e doméstico,2062,Sociedade Empresária Limitada ,RUA,,DAS AMOREIRAS,270,COL SANTA GABRIELA,R DAS AMOREIRAS 270 COL SANTA GABRIELA,LAMENHA GRANDE,ALMIRANTE TAMANDARE,PR,83507630,41,998573130,41,998430083,ATIVA,1,GRANDE, R$ 120.000.000,00 ,3,497
 47.419.270/0001-03,REHAU INDUSTRIA LTDA,,19/02/1976,2229302,Fabricação de artefatos de material plástico para usos industriais,2062,Sociedade Empresária Limitada ,RUA,,TOMAS SEPE,55,,R TOMAS SEPE 55,JARDIM DA GLORIA,COTIA,SP,6711270,11,46133900,11,992266362,ATIVA,1,GRANDE, R$ 172.000.000,00 ,4,734
 14.804.587/0001-04,CONDOMINIO SHOPPING DA BAHIA,,22/04/1986,8112500,Condomínios prediais,3085,Condomínio Edilício ,AVENIDA,,TANCREDO NEVES,148,148 SHOP IGUATEMI 3 PISO,AV TANCREDO NEVES 148 148 SHOP IGUATEMI 3 PISO,CAMINHO DAS ARVORES,SALVADOR,BA,41820020,71,21088884,71,33505087,ATIVA,1,MÉDIA, R$ 7.500.000,00 ,1,720
 92.534.635/0001-97,PLASTICOS ITALIA LTDA,,26/05/1989,2222600,Fabricação de embalagens de material plástico,2062,Sociedade Empresária Limitada ,RUA,,ITALIA,600,,RUA ITßLIA 600,IPANEMA,FARROUPILHA,RS,95177402,54,999790388,54,30284603,ATIVA,1,GRANDE, R$ 41.500.000,00 ,2,344
 57.600.249/0001-55,BOEHRINGER INGELHEIM ANIMAL HEALTH DO BRASIL LTDA.,,18/11/1969,2122000,Fabricação de medicamentos para uso veterinário,2062,Sociedade Empresária Limitada ,FAZENDA,S,FRANCISCO,,CX POSTAL 242,FAZ S FRANCISCO SN CX POSTAL 242,ZONA RURAL,PAULINIA,SP,13140000,31,999867934,34,998291297,ATIVA,1,GRANDE, R$ 640.000.000,00 ,9,888
 42.563.692/0001-26,M.I. MONTREAL INFORMATICA S.A,MONTREAL INFORMATICA,13/05/1976,6204000,Consultoria em tecnologia da informação,2054,Sociedade Anônima Fechada ,AVENIDA,PROFESSOR,MAGALHAES PENIDO,77,,AV PROF MAGALHAES PENIDO 77,AEROPORTO,BELO HORIZONTE,MG,31270383,31,998337730,31,999639810,ATIVA,1,GRANDE, R$ 340.000.000,00 ,8,4039
 04.241.585/0001-92,INDORAMA VENTURES FIBRAS BRASIL LTDA,,16/01/2001,2040100,Fabricação de fibras artificiais e sintéticas,2062,Sociedade Empresária Limitada ,RODOVIA,,BR 101 SUL,2426,,ROD BR 101 SUL 2426,DISTRITO INDUSTRIAL,CABO DE SANTO AGOSTINHO,PE,54500000,81,971193609,81,981299789,ATIVA,1,GRANDE, R$ 340.000.000,00 ,8,290
 02.907.841/0001-02,CAIO - INDUSCAR INDUSTRIA E COMERCIO DE CARROCERIAS LTDA,,25/11/1998,2930102,Fabricação de carrocerias para ônibus,2062,Sociedade Empresária Limitada ,RODOVIA,MARECHAL,RONDON,,KM 252 2,ROD MAL RONDON KM 252 2,DISTRITO INDUSTRIAL,BOTUCATU,SP,18607810,21,25739842,14,996356282,ATIVA,1,GRANDE, R$ 12.125.000,00 ,11,5614
 60.726.502/0001-26,HOSPITAL ALEMAO OSWALDO CRUZ,HOSPITAL ALEMAO OSWALDO CRUZ,25/08/1966,8610101,Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências,3999,Associação Privada,RUA,,JOAO JULIAO,331,NESTLE B,R JOAO JULIAO 331 NESTLE B,BELA VISTA,SAO PAULO,SP,1323903,11,35490389,11,35491469,ATIVA,1,GRANDE, R$ 750.000.000,00 ,2,4443
 71.352.553/0001-51,EXPOCACCER- COOPERATIVA DOS CAFEICULTORES DO CERRADO LTDA.,EXPOCACCER,04/09/1993,4621400,Comércio atacadista de café em grão,2143,Cooperativa ,AVENIDA,,MARCIANO PIRES,95,,AV MARCIANO PIRES 95,MARCIANO BRANDAO,PATROCINIO,MG,38740000,11,955715876,34,998175019,ATIVA,1,GRANDE, R$ 440.000.000,00 ,22,569
 06.252.823/0001-90,CHF MOVEIS LTDA,,14/04/2004,3101200,Fabricação de móveis com predominância de madeira,2062,Sociedade Empresária Limitada ,RUA,,APARECIDA CARINA BENHAME DE ALMEIDA,381,,R APARECIDA CARINA BENHAME DE ALMEIDA 381,DUCILIA CARONE,VISCONDE DO RIO BRANCO,MG,36520000,32,999750070,32,35516365,ATIVA,1,MÉDIA, R$ 6.250.000,00 ,2,125
 07.209.957/0001-91,FORTUCE & FORTUCE LTDA,EMBALAGEM FORTUCE,03/02/2005,2222600,Fabricação de embalagens de material plástico,2062,Sociedade Empresária Limitada ,RODOVIA,,ATAULFO ALVES,800,,ROD ATAULFO ALVES 800,JARDIM INDAIA,MIRAI,MG,36790000,32,34261405,32,32418030,ATIVA,1,MÉDIA, R$ 56.700.000,00 ,3,319
 07.734.900/0001-01,PLAST - CENSI RECUPERADORA E IMPORTADORA DE PLASTICOS LTDA,PLAST-CENSI,02/12/2005,2229399,Fabricação de artefatos de material plástico para outros usos não especificados anteriormente,2062,Sociedade Empresária Limitada ,RUA,,SEBASTIAO SCHIMTZ,1000,,R SEBASTIAO SCHIMTZ 1000,SAO NICOLAU,PENHA,SC,88385000,47,33196189,47,991869998,ATIVA,1,MÉDIA, R$ 17.230.000,00 ,2,102
 08.074.032/0001-43,FACULDADE DE CIENCIAS E TECNOLOGIA DO MARANHAO LTDA,FACEMA,16/06/2006,8531700,Educação superior - graduação,2062,Sociedade Empresária Limitada ,RUA,,AARAO REIS,1000,1000,R AARAO REIS 1000 1000,CENTRO,CAXIAS,MA,65606020,99,34226800,99,34226810,ATIVA,1,MÉDIA, R$ 30.000.000,00 ,2,509
 01.144.384/0001-89,A. RAYMOND BRASIL LTDA,,17/04/1996,2949299,Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente,2062,Sociedade Empresária Limitada ,AVENIDA,,COMENDADOR JOAO LUCAS,555,,AV COMENDADOR JOAO LUCAS 555,DISTRITO INDUSTRIAL,VINHEDO,SP,13280000,19,981351827,19,998849214,ATIVA,1,GRANDE, R$ 12.125.000,00 ,3,402
 04.798.581/0001-00,ROMAPACK IMPORTACAO, EXPORTACAO E INDUSTRIA DE EMBALAGENS LTDA.,,07/11/2001,2222600,Fabricação de embalagens de material plástico,2062,Sociedade Empresária Limitada ,RUA,,PANAMBI,337,E 375,R PANAMBI 337 E 375,CIDADE INDUSTRIAL SATELITE DE SAO PAULO,GUARULHOS,SP,7224130,11,969502080,11,24816217,ATIVA,1,GRANDE, R$ 41.500.000,00 ,4,429
 04.412.044/0001-80,CODAP BRASIL LTDA,,30/04/2001,1099699,Fabricação de outros produtos alimentícios não especificados anteriormente,2062,Sociedade Empresária Limitada ,AVENIDA,,VELA OLIMPICA,1000,,AV VELA OLIMPICA 1000,APARECIDA,SOROCABA,SP,18087350,15,30348265,15,32351013,ATIVA,1,GRANDE, R$ 120.000.000,00 ,3,210
 00.451.867/0001-63,Y.D. CONFECCOES LTDA,,17/02/1995,8219999,Preparação de documentos e serviços especializados de apoio administrativo não especificados anterio,2062,Sociedade Empresária Limitada ,RUA,,VALDEMAR AMARANTE,339,,R VALDEMAAMARANTE 339,PARQUE BOTURUSSU,SAO PAULO,SP,3804000,14,38451760,11,30319634,ATIVA,1,MÉDIA, R$ 41.500.000,00 ,4,24
 13.086.053/0001-19,CLINICA SANTA HELENA LTDA,CLINICA SANTA HELENA,05/06/1974,8610101,Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências,2062,Sociedade Empresária Limitada ,TRAVESSA,FREI,PAULO,331,,TV FR PAULO 331,SAO JOSE,ARACAJU,SE,49015240,79,998692596,79,998816440,ATIVA,1,MÉDIA, R$ 56.700.000,00 ,2,805
 05.915.146/0001-80,LACTOSUL INDUSTRIA DE LATICINIOS -LTDA,,30/09/2003,1052000,Fabricação de laticínios,2062,Sociedade Empresária Limitada ,RUA,,SANTANA,193,,R SANTANA 193,ST SUL,PIRANHAS,GO,76230000,64,999799112,64,999599680,ATIVA,1,GRANDE, R$ 172.000.000,00 ,2,219
 03.249.921/0005-04,VIBRACOUSTIC SOUTH AMERICA LTDA,,24/11/2016,2219600,Fabricação de artefatos de borracha não especificados anteriormente,2062,Sociedade Empresária Limitada ,AVENIDA,,ARCENIO RIEMMA,1415,,AVENIDA ARCENIO RIEMMA 1415,UNA,TAUBATE,SP,12072250,11,984635350,11,972827442,ATIVA,1,GRANDE, R$ 236.000.000,00 ,6,250
 03.562.171/0001-00,GRANITOS COLODETTI LTDA,,20/12/1999,2391503,Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras,2062,Sociedade Empresária Limitada ,RODOVIA,,FUED NEMER,,KM 9 CX POST24,ROD FUED NEMER KM 9 CX POST24,,CONDURU,ES,29329000,28,992549186,28,992788242,ATIVA,1,PEQUENA, R$ 12.125.000,00 ,2,150
 05.535.627/0001-60,TERMINAL MARITIMO DO GUARUJA S/A - TERMAG,,14/02/2003,5231102,Atividades do Operador Portuário,2054,Sociedade Anônima Fechada ,AVENIDA,SANTOS,DUMONT,1327,,AV SANTOS DUMONT 1327,SITIO PAECARA (VICENTE DE CARVALHO),GUARUJA,SP,11460003,13,997029091,13,974191496,ATIVA,1,GRANDE, R$ 120.000.000,00 ,5,360
 90.236.621/0001-61,POLITORNO MOVEIS LTDA,,02/05/1985,3101200,Fabricação de móveis com predominância de madeira,2062,Sociedade Empresária Limitada ,RODOVIA,,RST 470 82,,KM 82,ROD RST 470 82 KM 82,TUIUTY,BENTO GONCALVES,RS,95700000,54,37711660,54,21051327,ATIVA,1,GRANDE, R$ 72.000.000,00 ,2,355
 57.497.539/0007-00,BRIDGESTONE DO BRASIL INDUSTRIA E COMERCIO LTDA.,BRIDGESTONE FIRESTONE,25/01/2005,2211100,Fabricação de pneumáticos e de câmaras-de-ar,2062,Sociedade Empresária Limitada ,Rodovia,,BA-535,,KM 11,5 - LADO DIREITO (SENTIDO CEASA-CAMACARI),RODOVIA BA-535 S/N KM 11,5 - LADO DIREITO (SENTIDO CEASA-CAMACARI),POLO PETROQUIMICO,CAMACARI,BA,42810200,11,44331666,71,34939000,ATIVA,0,GRANDE, R$ 12.125.000,00 ,6,1466
 10.227.955/0001-30,AMALFI INDUSTRIA TEXTIL LTDA.,,03/07/2008,1359600,Fabricação de outros produtos têxteis não especificados anteriormente,2062,Sociedade Empresária Limitada ,RUA,,PROSPERIDADE,345,SL 3,R PROSPERIDADE SL 3,JARDIM BOER I,AMERICANA,SP,13477670,19,34068585,19,34787200,ATIVA,1,MÉDIA, R$ 160.000,00 ,3,29
 22.726.232/0001-64,ASTECA INDUSTRIA E COMERCIO DE ARTEFATOS DE BORRACHAS EIRELI,ASTECA BORRACHAS,25/06/2015,2219600,Fabricação de artefatos de borracha não especificados anteriormente,2305,Empresa individual de responsabilidade limitada (de Natureza Empresária),ESTRADA,N SRA,DE FATIMA,135,,EST N SRA DE FATIMA 135,TERRA PRETA,MAIRIPORA,SP,7600000,11,48189424,11,27027553,ATIVA,1,PEQUENA, R$ 2.150.000,00 ,2,78
 23.561.579/0001-67,CONDOMINIO AURORA SHOPPING,,23/10/2015,8112500,Condomínios prediais,3085,Condomínio Edilício ,AVENIDA,,AYRTON SENNA DA SILVA,400,LOTE 05 14 QUADRA 01 ANDAR 19,AYRTON SENNA DA SILVA,GLEBA FAZENDA PALHANO,LONDRINA,PR,86050460,43,33745433,43,33745454,ATIVA,1,PEQUENA, R$ 12.125.000,00 ,,27
 68.093.095/0001-79,FROOTY COMERCIO E INDUSTRIA DE ALIMENTOS S.A.,SP ICE, FROOTY ACAI, ACAI FROOTY,01/07/1992,4729699,Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não e,2054,Sociedade Anônima Fechada ,ESTRADA MUNICIPAL,,LIMPO PAULISTA A ATIBAIA,,CAMPO ,ESTRADA MU CAMPO LIMPO PAULISTA A ATIBAIA SN,IARA,ATIBAIA,SP,12949880,11,30937138,65,996159668,ATIVA,1,GRANDE, R$ 172.000.000,00 ,6,493
 36.161.784/0001-87,REPLAEX RESINAS PLASTICAS EXTRUDADAS LTDA,,29/05/1990,2221800,Fabricação de laminados planos e tubulares de material plástico,2062,Sociedade Empresária Limitada ,ESTRADA,,DA LIGACAO,839,839,EST DA LIGACAO 839 839,JACAREPAGUA,RIO DE JANEIRO,RJ,22713470,21,24468811,21,997951724,ATIVA,1,MÉDIA, R$ 12.125.000,00 ,3,40
 55.850.705/0001-90,GANDINI PARTICIPACOES E REPRESENTACOES LTDA,,06/06/1986,8299799,Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente,2062,Sociedade Empresária Limitada ,AVENIDA,,FRANCISCO ERNESTO FAVERO,662,SL 2,AV FRANCISCO ERNESTO FAVERO 662 SL 2,JARDIM DO ESTADIO,ITU,SP,13309290,11,40248081,11,40248000,ATIVA,1,, R$ -   ,3,69
 23.332.315/0001-31,CARIOCA MOVEIS INDUSTRIA E COMERCIO LTDA,,08/07/1987,3101200,Fabricação de móveis com predominância de madeira,2062,Sociedade Empresária Limitada ,AVENIDA,PREF,ADOLFO NICOLATO,291,291,AV PREF ADOLFO NICOLATO 291 291,CENTRO,RODEIRO,MG,36510000,32,998357152,32,998124158,ATIVA,1,MÉDIA, R$ 30.000.000,00 ,2,219
 01.352.926/0001-09,PACKSEVEN - INDUSTRIA E COMERCIO LTDA,PACKSEVEN,30/07/1996,2221800,Fabricação de laminados planos e tubulares de material plástico,2062,Sociedade Empresária Limitada ,RUA,BARAO,DE MAUA,2370,,RUA BARAO DE MAUA 2370,PARQUE INDUSTRIAL GETULIO VARGAS,MOGI GUACU,SP,13846300,19,30192300,19,38185733,ATIVA,1,GRANDE, R$ 340.000.000,00 ,3,552
 46.889.424/0001-50,LINK STEEL EQUIPAMENTOS INDUSTRIAIS LTDA,,28/08/1981,2862300,Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo, peças e acess,2062,Sociedade Empresária Limitada ,RODOVIA,,DO ACUCAR SN,,KM 146,ROD DO ACUCAR SN KM 146,INDUSTRIAL,RIO DAS PEDRAS,SP,13390000,19,991955884,19,991955900,ATIVA,1,GRANDE, R$ 56.700.000,00 ,2,792
